rate,b1_w1,b1_w2,b2_w1,b2_w2,mach_w1,mach_w2
0.1,1,1,1,1,1,1
0.2,1,1,1,1,1,1
0.3,1,1,1,1,1,1
0.4,0.9543079818,0.9546257251,1,1,1,1
0.5,0.9709907947,0.9850231737,1,1,1,1
0.6,0.9935365344,0.9983800395,1,1,1,1
0.7,0.9176857385,0.9182799312,1,1,1,1
0.8,0.8760685468,0.8687235533,1,1,1,1
0.9,0.8485899723,0.8092358157,1,1,1,1
1,0.7903372106,0.8037261249,1,1,1,1
2,0.4499144297,0.4525812968,1,1,1,1
3,0.2993946793,0.3234057471,1,1,1,1
4,0.2306721984,0.236985411,1,1,1,1
5,0.1665364912,0.1863984005,0.9316666667,1,1,1
6,0.1527804693,0.1514305459,0.7420833333,1,1,1
7,0.1116040835,0.1266076688,0.6516666667,1,1,1
8,0.1063665966,0.110730442,0.5454166667,1,0.9354166667,1
9,0.09075858253,0.09349930742,0.4691666667,1,0.7841666667,1
10,0.08622817956,0.08539556936,0.4245833333,0.88875,0.71375,1
11,0.0776136606,0.08214273446,0.38875,0.79125,0.6366666667,1
12,0.07463430066,0.07979508348,0.3658333333,0.7495833333,0.5829166667,1
13,0.06111821566,0.06002811279,0.33625,0.70125,0.5183333333,1
14,0.05736294819,0.06040773361,0.31,0.6308333333,0.4895833333,1
15,0.05849207539,0.05204154698,0.2779166667,0.5770833333,0.4566666667,0.9058333333
