Time (seconds),Load (samples/sec),Mach mem usage,Kafka mem usage
0,200000,0,716584
1,200000,0,9115528
2,200000,0,5016692
3,200000,1000160,5016692
4,200000,0,4508081
5,200000,0,2456430
6,200000,0,1500239
7,200000,0,1448208
8,200000,0,1477092
9,200000,0,987041
10,200000,0,987041
11,200000,0,1067392
12,200000,1000124,682786
13,200000,0,726570
14,200000,0,659100
15,200000,0,659100
16,200000,0,735684
17,200000,1000188,681700
18,200000,0,726581
19,200000,0,683426
20,200000,0,683426
21,200000,0,767151
22,200000,0,667847
23,200000,1001194,721327
24,200000,0,657810
25,200000,0,657810
26,200000,0,718729
27,200000,0,655680
28,200000,1000190,718649
29,200000,0,666978
30,200000,0,666978
31,200000,0,739382
32,200000,0,675950
33,200000,1000494,750597
34,200000,0,670094
35,200000,0,670094
36,200000,0,729666
37,200000,1000220,657629
38,200000,0,746451
39,200000,0,652919
40,200000,0,652919
41,200000,0,712985
42,200000,1000044,1213356
43,200000,0,1308069
44,200000,0,1821920
45,200000,0,1821920
46,200000,0,1881858
47,200000,0,1236565
48,200000,0,1333273
49,200000,0,629479
50,200000,0,629479
51,200000,0,688806
52,200000,0,658322
53,200000,0,761181
54,200000,0,661220
55,200000,0,661220
56,200000,0,661220
57,200000,0,824876
58,200000,1000672,678488
59,200000,0,678488
60,200000,0,678488
61,200000,0,678488
62,200000,0,644865
63,200000,1000280,695621
64,200000,0,695621
65,200000,0,695621
66,200000,0,695621
67,200000,0,846660
68,200000,0,670470
69,200000,0,670470
70,200000,0,670470
71,200000,0,670470
72,200000,1000442,670470
73,8000000,0,58632041
74,8000000,93804821,78779047
75,8000000,116019208,88870762
76,8000000,121975054,88631507
77,8000000,125895418,89359563
78,8000000,128817910,90833116
79,8000000,132781624,85425907
80,8000000,138700742,83113450
81,8000000,143605053,82906989
82,8000000,145506178,125906287
83,8000000,245531361,155705757
84,8000000,254630243,160500610
85,8000000,250624939,162307747
86,8000000,251617338,163187716
87,8000000,249615564,161753896
88,8000000,250594043,151254144
89,8000000,254516609,149048591
90,8000000,255414186,147793377
91,8000000,261312971,186338201
92,8000000,371298300,232735458
93,8000000,397528206,248759505
94,8000000,404529963,250638759
95,8000000,402435602,250496647
96,8000000,401340657,245158182
97,8000000,397310776,228355879
98,8000000,397277350,220968245
99,8000000,404279565,215603576
100,8000000,410262448,241440288
101,8000000,509261726,295460863
102,8000000,511193932,311529439
103,8000000,534344119,319197647
104,8000000,536321383,321911110
105,8000000,540272895,321936069
106,8000000,539267609,323562833
107,8000000,533244174,326266778
108,8000000,527087693,326068370
109,8000000,526961694,324819427
110,8000000,530847290,383058155
111,8000000,627932129,411438707
112,8000000,645132885,429463920
113,8000000,642112657,428913349
114,8000000,645033663,422469076
115,8000000,645913386,422873810
116,8000000,641740054,416534208
117,8000000,642599386,411262520
118,8000000,644509471,411975990
119,8000000,639379200,461004601
120,8000000,738432845,502717024
121,8000000,757618700,520738794
122,8000000,759622013,525650007
123,8000000,756536984,527554183
124,8000000,761513424,531660466
125,8000000,766499204,529153690
126,8000000,770491753,527967249
127,8000000,774459300,527665929
128,8000000,777412547,563348759
129,8000000,887551172,610235879
130,8000000,903816187,627053087
131,8000000,899785505,630932457
132,8000000,896722304,633654848
133,8000000,896665673,637153550
134,8000000,891593853,635759560
135,8000000,889505735,636571764
136,8000000,890363133,634461819
137,8000000,895284204,660748035
138,8000000,987213093,716696784
139,8000000,1009389790,728174388
140,8000000,1032619524,738518325
141,8000000,1038572363,742246226
142,8000000,1042473696,746900052
143,8000000,1046419642,744546679
144,8000000,1050368187,743160652
145,8000000,1051340967,742862335
146,8000000,1055218592,741553901
147,8000000,1053098724,797671115
148,8000000,1155155361,828992362
149,8000000,1173402623,844827570
150,8000000,1178422461,846469282
151,8000000,1171207443,847174806
152,8000000,1175117288,849563023
153,8000000,1169970907,849671555
154,8000000,1172941104,853552201
155,8000000,1175906213,856381457
156,8000000,1166875870,897664361
157,8000000,1269921852,936510976
158,8000000,1285139113,953298703
159,8000000,1285067321,957048842
160,8000000,1270842955,957570282
161,8000000,1266665439,959141429
162,8000000,1265631979,961352701
163,8000000,1263605292,964247822
164,8000000,1258436205,964892533
165,8000000,1250272257,1002063844
166,8000000,1349192873,1048169837
167,8000000,1353361913,1063251772
168,8000000,1343311841,1067655783
169,8000000,1332218056,1069191173
170,8000000,1332171691,1064550421
171,8000000,1329125450,1060965752
172,8000000,1328099093,1060628171
173,8000000,1330048636,1055185557
174,8000000,1337028618,1072578720
175,8000000,1431967182,1123302733
176,8000000,1444048465,1132330139
177,8000000,1464314791,1134767357
178,8000000,1456173175,1117822097
179,8000000,1439897154,1112425419
180,8000000,1416514960,1110457090
181,8000000,1401469651,1096684630
182,8000000,1400447140,1093557470
183,8000000,1399439739,1093321384
184,8000000,1407422150,1145741915
185,8000000,1509382475,1181030641
186,8000000,1523513318,1198792820
187,8000000,1524453702,1202499830
188,8000000,1529350888,1200016702
189,8000000,1526189998,1198519156
190,8000000,1528107908,1196979197
191,8000000,1535061306,1193795540
192,8000000,1545011675,1183342476
193,8000000,1547997523,1203660688
194,8000000,1660151750,1233647799
195,8000000,1682474346,1242090175
196,8000000,1683453299,1232284468
197,8000000,1681431241,1231697986
198,8000000,1683401637,1232226894
199,8000000,1683317814,1233421463
200,8000000,1683198755,1231410007
201,8000000,1688109079,1233266616
202,8000000,1686991526,1271114102
203,8000000,1797062529,1321507760
204,8000000,1817301894,1331627034
205,8000000,1820278319,1337620744
206,8000000,1825263742,1338114197
207,8000000,1832251836,1339717155
208,8000000,1835253757,1344445301
209,8000000,1840253315,1347135474
210,8000000,1847246862,1347932185
211,8000000,1843096397,1374555720
212,8000000,1932025966,1429678866
213,8000000,1952238239,1441517003
214,8000000,1970494676,1449323369
215,8000000,1971465614,1453843338
216,8000000,1972382262,1458613106
217,8000000,1970353890,1460053574
218,8000000,1960320250,1458649692
219,8000000,1951122057,1459503955
220,8000000,1945882714,1456293360
221,8000000,1948838440,1505935352
222,8000000,2053839601,1532308959
223,8000000,2071101932,1537699569
224,8000000,2067053643,1530841827
225,8000000,2055899619,1524114029
226,8000000,2043682116,1523177390
227,8000000,2016358804,1518183399
228,8000000,2005215540,1517285505
229,8000000,2006133291,1516945131
230,8000000,2011114607,1558192929
231,8000000,2117118626,1600827414
232,8000000,2139374664,1615167433
233,8000000,2146377151,1615525882
234,8000000,2148359379,1618816281
235,8000000,2155358141,1618074252
236,8000000,2162329328,1618314034
237,8000000,2168292056,1618568296
238,8000000,2176244453,1614148722
239,8000000,2182227813,1643376621
240,8000000,2289279767,1697197999
241,8000000,2314528933,1710425489
242,8000000,2319512074,1712142078
243,8000000,2322491249,1710653108
244,8000000,2322455660,1710236144
245,8000000,2327434349,1709030927
246,8000000,2327370756,1695448574
247,8000000,2335321017,1674835898
248,8000000,2332173190,1677449876
249,8000000,2406793775,1722789290
250,8000000,2435993252,1737640537
251,8000000,2451053434,1747997133
252,8000000,2438920537,1750580878
253,8000000,2439806665,1752207730
254,8000000,2434615762,1753297595
255,8000000,2436542630,1753077575
256,8000000,2442517759,1753849065
257,8000000,2447452293,1753635804
258,8000000,2451363302,1809568722
259,8000000,2560412038,1841746076
260,8000000,2582709554,1856463282
261,8000000,2585696103,1856932069
262,8000000,2585669961,1857429594
263,8000000,2586641912,1860701617
264,8000000,2584566549,1853376329
265,8000000,2585520106,1849302893
266,8000000,2590442271,1844040931
267,8000000,2593363154,1882358021
268,8000000,2696276257,1921911965
269,8000000,2712389369,1938300867
270,8000000,2709371732,1939710589
271,8000000,2704325063,1940972049
272,8000000,2699288579,1943886168
273,8000000,2697156501,1947170811
274,8000000,2693004250,1948783788
275,8000000,2692838917,1948510452
276,8000000,2695823101,1976617626
277,8000000,2798907656,2023263272
278,8000000,2821143191,2035679150
279,8000000,2824085947,2044005728
280,8000000,2818959912,2046508259
281,8000000,2818869815,2050021368
282,8000000,2825842947,2050061527
283,8000000,2829778804,2050105812
284,8000000,2834742548,2050945520
285,8000000,2841746201,2075600780
286,8000000,2913368621,2133189485
287,8000000,2954846415,2144300771
288,8000000,2982114037,2160721503
289,8000000,2989100796,2164174064
290,8000000,2994076569,2164627916
291,8000000,2999041502,2165368073
292,8000000,3001957248,2161977181
293,8000000,3001854764,2164945329
294,8000000,3007802929,2159538533
295,8000000,3007649993,2207458589
296,8000000,3115704780,2239255274
297,8000000,3140935360,2257006608
298,8000000,3145922866,2258606373
299,8000000,3140828067,2262144164
300,8000000,3141808190,2264831938
301,8000000,3141781686,2270536012
302,8000000,3138752658,2270287894
303,8000000,3141687036,2269988252
304,8000000,3141614996,2307650347
305,8000000,3249625604,2350692635
306,8000000,3272886549,2363015324
307,8000000,3263822199,2365438646
308,8000000,3258782379,2366800752
309,8000000,3260734891,2367190686
310,8000000,3263727802,2367246523
311,8000000,3265680376,2365669177
312,8000000,3269629731,2366480129
313,8000000,3268491316,2389771704
314,8000000,3374383284,2443374640
315,8000000,3382494167,2458653468
316,8000000,3380452710,2449901243
317,8000000,3378393398,2449099319
318,8000000,3377366803,2452467818
319,8000000,3372232856,2452658863
320,8000000,3373136362,2452903776
321,8000000,3365904659,2453802413
322,8000000,3363835485,2472020955
323,8000000,3424366075,2526854719
324,8000000,3467964505,2541328094
325,8000000,3491194868,2556545530
326,8000000,3495069636,2561828496
327,8000000,3492952174,2562274822
328,8000000,3495872101,2562975469
329,8000000,3500793516,2561666580
330,8000000,3507734810,2559424583
331,8000000,3518704862,2561200873
332,8000000,3528671310,2613242137
333,8000000,3634708378,2649154500
334,8000000,3660944056,2667022187
335,8000000,3667903477,2664006655
336,8000000,3671886811,2662283404
337,8000000,3676883718,2659372213
338,8000000,3675859274,2657478002
339,8000000,3680823048,2656777222
340,8000000,3687787720,2654385164
341,8000000,3696755526,2692138709
342,8000000,3805722875,2732919517
343,8000000,3828965315,2747277892
344,8000000,3836954302,2748891958
345,8000000,3837846500,2747924892
346,8000000,3837718663,2749037640
347,8000000,3834653881,2750214299
348,8000000,3837653617,2753161570
349,8000000,3837597718,2754943889
350,8000000,3843537436,2786826262
351,8000000,3957649346,2841619798
352,8000000,3982860864,2856473250
353,8000000,3986854342,2861750472
354,8000000,3992835701,2864197613
355,8000000,4002818772,2865651692
356,8000000,4009801668,2862615466
357,8000000,4017785895,2861680382
358,8000000,4026749694,2859490433
359,8000000,4037733919,2871069528
360,8000000,4097232960,2926605834
361,8000000,4152738855,2935787120
362,8000000,4177956161,2952329327
363,8000000,4179866018,2954896728
364,8000000,4186834298,2956463289
365,8000000,4190806061,2957727230
366,8000000,4188720015,2957149148
367,8000000,4182697235,2956946519
368,8000000,4183668501,2955719344
369,8000000,4177509129,3007879905
370,8000000,4279570372,3042615863
371,8000000,4301735867,3053718559
372,8000000,4303738036,3052906631
373,8000000,4297672822,3052418624
374,200000,4289644192,3048391298
375,200000,4281624646,3041250286
376,200000,4272620324,3035129948
377,200000,4277682237,3028027935
378,200000,4310046711,3021039862
379,200000,4333287550,3039098650
380,200000,4325248751,3068868921
381,200000,4316129951,3067937004
382,200000,4312070724,3058661712
383,200000,4318135675,3055948372
384,200000,4320184088,3067176991
385,200000,4310122554,3071745726
386,200000,4295063543,3065562459
387,200000,4282033925,3059329684
388,200000,4271972733,3052309650
389,200000,4258914521,3044609802
390,200000,4249842957,3036701636
391,200000,4243828141,3031663813
392,200000,4239785748,3024578087
393,200000,4233764074,3018703822
394,200000,4228745741,3011896012
395,200000,4220688417,3006914302
396,200000,4215653488,3003862782
397,200000,4209614394,2999778310
398,200000,4202569922,2993763171
399,200000,4196528192,2988960877
400,200000,4191501733,2984971661
401,200000,4185452276,2979752633
402,200000,4181419537,2973579295
403,200000,4175385150,2967611246
404,200000,4168322280,2961745208
405,200000,4160281636,2955821231
406,200000,4154260495,2951731838
407,200000,4146226181,2946639109
408,200000,4127127467,2942706073
409,200000,4111094465,2938889361
410,200000,4099057811,2933870681
411,200000,4093989479,2928827052
412,200000,4089945037,2924764384
413,200000,4083868770,2909592254
414,200000,4076808671,2895876533
415,200000,4071747711,2885898430
416,200000,4068730787,2877760603
417,200000,4061649165,2869793255
418,200000,4054575068,2861770634
419,200000,4044499057,2853502898
420,200000,4036432285,2849550076
421,200000,4025415361,2841561370
422,200000,4018384470,2835602308
423,200000,4014409217,2829654301
424,200000,4010389421,2822603771
425,200000,3996336050,2823151814
426,200000,3992398456,2809000672
427,200000,3979330883,2802736908
428,200000,3963234820,2802711002
429,200000,3958179847,2799617359
430,200000,3952161774,2795669248
431,200000,3946070063,2791731729
432,200000,3939029327,2785787207
433,200000,3931987722,2779796363
434,200000,3925956700,2772758474
435,200000,3920912304,2766776190
436,200000,3910852466,2755812382
437,200000,3898842461,2749811576
438,200000,3893826969,2741876818
439,200000,3889826393,2737767515
440,200000,3883814027,2731820461
441,200000,3883815017,2724818488
442,200000,3879805659,2713709925
443,200000,3873741051,2691428432
444,200000,3869700056,2681274569
445,200000,3860644926,2672158639
446,200000,3854638126,2666181938
447,200000,3847609945,2660124045
448,200000,3839596671,2652170870
449,200000,3827545538,2644958003
450,200000,3818521147,2641051441
451,200000,3810500006,2633024451
452,200000,3805479243,2623948211
453,200000,3792395419,2618025285
454,200000,3782296878,2604785343
455,200000,3774217014,2595784120
456,200000,3768160876,2586871969
457,200000,3759081403,2572930937
458,200000,3749985568,2562910105
459,200000,3741934973,2556792091
460,200000,3726868941,2548807470
461,200000,3722849960,2540937763
462,200000,3711783432,2534986210
463,200000,3702726304,2531101756
464,200000,3694650745,2530094339
465,200000,3686570153,2524061670
466,200000,3681544726,2517586883
467,200000,3675481560,2515930287
468,200000,3669425316,2507266361
469,200000,3665339450,2502111930
470,200000,3659260512,2498171343
471,200000,3655211630,2493241414
472,200000,3641069345,2487324134
473,200000,3626976192,2478260351
474,200000,3621933039,2474208612
475,200000,3617918864,2472285348
476,200000,3615910438,2465294991
477,200000,3611878235,2459340932
478,200000,3606849816,2455476183
479,200000,3601833203,2441246747
480,200000,3599794154,2431065002
481,200000,3596756340,2423213114
482,200000,3594728947,2416463347
483,200000,3589712038,2410358852
484,200000,3582680427,2406296779
485,200000,3577659407,2399183161
486,200000,3568604778,2392521033
487,200000,3564588118,2385757603
488,200000,3558583579,2377656231
489,200000,3552547320,2371523076
490,200000,3548519693,2365444700
491,200000,3543456211,2353605773
492,200000,3539433594,2341712042
493,200000,3533405258,2336588877
494,200000,3529373282,2333554708
495,200000,3528369619,2326350465
496,200000,3522334954,2319596719
497,200000,3514247394,2315836977
498,200000,3505199834,2310792548
499,200000,3493181636,2306698743
500,200000,3486168962,2297456492
501,200000,3480148356,2292761605
502,200000,3471120629,2285937226
503,200000,3462076119,2280809097
504,200000,3458039334,2275687611
505,200000,3450946957,2271589853
506,200000,3442881424,2264864773
507,200000,3434829775,2260060323
508,200000,3427802233,2254938886
509,200000,3419769356,2247731607
510,200000,3413712106,2244659308
511,200000,3407618778,2240965281
512,200000,3399503358,2235174919
513,200000,3392469383,2230122908
514,200000,3384414709,2227103649
515,200000,3370309563,2221026306
516,200000,3367288612,2214248877
517,200000,3362246305,2210512451
518,200000,3354218132,2203316319
519,200000,3344104496,2197186253
520,200000,3337065908,2180760933
521,200000,3329971238,2163862805
522,200000,3321847976,2156968065
523,200000,3307749561,2151934664
524,200000,3299721296,2146860578
525,200000,3290719654,2140785154
526,200000,3276714895,2133047403
527,200000,3270712347,2128330964
528,200000,3263694042,2121177795
529,200000,3256660412,2105977370
530,200000,3251641438,2097825985
531,200000,3244614132,2091903835
532,200000,3238584845,2087230835
533,200000,3232571274,2080045440
534,200000,3228545296,2073863153
535,200000,3222502158,2065807275
536,200000,3216482938,2048894197
537,200000,3212448508,2035793035
538,200000,3205392248,2031861541
539,200000,3200374881,2024711536
540,200000,3189316240,2017680212
541,200000,3184278688,2010764328
542,200000,3180243236,2004846171
543,200000,3173172673,1998956488
544,200000,3167136786,1994853588
545,200000,3160090071,1988818456
546,200000,3158071992,1981862783
547,200000,3153019054,1974918845
548,200000,3146974338,1971045926
549,200000,3142957523,1967960677
550,200000,3134940546,1960022246
551,200000,3129931879,1953035640
552,200000,3122875215,1943114176
553,200000,3109804611,1935131702
554,200000,3101728727,1926974279
555,200000,3091614652,1920080020
556,200000,3078488135,1911011671
557,200000,3067449305,1903978671
558,200000,3063422377,1900124651
559,200000,3060400686,1898006597
560,200000,3054340207,1892037906
561,200000,3046233975,1882964239
562,200000,3033220803,1874918587
