Time,Workload,Kafka Data Latency,Kafka Execution Latency,Mach Data Latency,Mach Execution Latency,ES Data Latency,ES Execution Latency
0,200000,6.804096104,0.016321875,5.145516064,0.059162404,17.17384449,0.030089454
10,200000,7.004209932,0.021569465,0.562489047,0.090053365,16.74391188,0.007408459
20,200000,3.602197335,0.025328688,3.468176977,0.503915377,8.179629802,0.037837748
30,200000,6.504048693,0.017580802,6.426634287,0.248498348,0.115366887,0.049124989
40,200000,3.402094619,0.029586882,3.347075213,0.133036751,0.075452742,0.005362284
50,200000,0.000002022,0.018387319,0.049035053,0.078362814,0.126256147,0.005043688
60,200000,0.000002647,0.033547027,0.15674122,0.106652578,0.074298752,0.005937115
70,200000,3.602221539,0.014107208,0.732755119,0.510719701,0.01589944,0.004887567
80,200000,2.201351867,0.016441331,0.924852603,0.335815043,0.208112684,0.006211074
90,200000,2.901840789,0.034768015,2.59389786,0.571561792,0.076547983,0.042505415
100,200000,2.301440126,0.029508917,2.77998068,0.54920877,0.016309362,0.005007913
110,200000,0.000001935,0.012960877,0.743641585,0.523379165,0.016421773,0.005274387
120,200000,3.101925252,0.038814191,0.756782011,0.573686418,0.013795425,0.005890412
130,200000,1.500932975,0.037084155,0.227874264,0.126642717,0.014503371,0.005247424
140,200000,3.802297835,0.018760342,3.897657965,0.55277531,0.015365888,0.004459912
150,200000,3.702325106,0.046210086,0.814976985,0.550345463,0.057898217,0.004861424
160,200000,3.302087633,0.047720337,0.685223204,0.632942528,0.118507174,0.019330875
170,200000,3.402078557,0.035556399,0.404270921,0.582719773,0.015178104,0.005767541
180,200000,5.303269246,0.02680649,1.854031216,0.535857307,0.017017015,0.005092208
190,200000,0.800494403,0.046464044,1.309681352,0.609518492,0.096954962,0.053306551
200,200000,0.00000214,0.018945901,0.815730303,0.522942479,0.152077425,0.073444018
210,200000,6.003758526,0.015890145,0.964456652,0.48602532,0.015815131,0.00539074
220,200000,0.000001781,0.028798966,0.708247412,0.489446216,0.014657367,0.005361506
230,200000,5.503348425,0.047034876,0.433785549,0.57405267,0.015764493,0.005171712
240,200000,0.600404053,0.034080944,0.675677154,0.555094477,0.015209787,0.005939916
250,200000,0.000001801,0.04071942,0.790927121,0.596868178,0.017812343,0.004994074
260,200000,0.600368719,0.054084145,0.8420345,0.614915607,0.323268976,0.005367027
270,200000,10.60660941,0.056407702,1.672649268,0.673327142,0.099196771,0.006892572
280,8000000,0.000001267,0.021470854,0.388012162,0.589302823,0.173566787,0.02717534
290,8000000,0.000001623,0.429014489,0.214054298,1.125531711,0.050104658,0.006321509
300,8000000,0.000002216,0.722022103,0.740331426,1.376319506,12.42606587,0.047958486
310,8000000,6.704034881,0.467725447,0.937470411,1.15434541,218.1187957,0.126993998
320,8000000,20.61222024,1.359280148,1.290361628,2.922608428,17.07326161,0.033422278
330,8000000,28.01658511,0.989381368,1.068724296,1.010759593,324.0367561,0.055594954
340,8000000,30.61836104,1.794242399,0.719120068,3.03717055,56.78899707,0.006938339
350,8000000,23.51464551,1.764800605,0.935490334,3.649202795,189.8033265,0.060258454
360,8000000,27.216354,1.73759667,2.022372859,2.804240165,328.2891988,0.308872767
370,8000000,72.14323017,1.86557215,1.909180501,2.258686325,472.060286,0.089904433
380,8000000,39.82435097,0.970289138,0.717768781,0.406130091,1003.2192,0.012888829
390,8000000,43.92680348,1.688713804,0.650202298,1.280625712,521.2855227,0.033141409
400,8000000,55.83282632,1.694046481,0.672418493,0.518394363,1044.672218,0.011480947
410,8000000,62.43650804,1.305597616,1.121824133,1.705621025,891.9802874,0.074355738
420,8000000,60.63693798,1.593145745,1.311781485,0.566412206,838.6503724,0.133823641
430,8000000,74.34350946,1.778964079,0.629885403,0.611161461,927.6896346,0.129144944
440,8000000,78.44604087,1.005251555,1.566488044,0.962219566,1676.419004,0.075539667
450,8000000,74.14357928,1.101740012,1.121370813,0.970143809,1447.441521,0.017038998
460,8000000,186.3095894,0.801797381,1.875539055,1.585315785,1921.346135,0.047410286
470,8000000,199.7178854,1.363070008,0.804204363,1.380265261,2027.902605,0.350976612
480,8000000,87.35129563,0.57914611,2.793501636,1.909676641,2674.415905,0.937820508
490,8000000,147.1872527,1.028452737,3.33505565,0.909353354,2221.517134,0.072586067
500,8000000,103.4610028,1.685813158,2.502814967,0.690593157,2517.854101,0.402758543
510,8000000,119.3697013,1.885185681,1.079304174,1.571715186,2311.487121,0.262202139
520,8000000,123.2720002,1.968025625,1.397711148,0.919236564,2640.167585,0.765401614
530,8000000,277.1654679,1.39977385,1.285822724,0.862197761,2221.013499,0.035774044
540,8000000,136.379178,1.640597913,0.816627732,1.137675837,3023.760332,0.378813095
550,8000000,334.5002662,2.115781145,2.511668693,1.359406429,2564.12361,0.01736577
560,8000000,347.0072367,1.601805441,0.799973336,0.705134687,2445.669308,0.0150867
570,200000,125.0732601,1.256631928,0.7134378,0.892738357,2541.940533,0.123059264
580,200000,150.9880781,1.817473058,0.644243836,0.608337102,3484.759683,0.12921762
590,200000,128.7755447,1.218954668,5.329424782,1.346522096,3799.252987,0.101863787
600,200000,377.6263751,1.079773778,1.78677323,0.693376398,2842.994967,0.010232015
610,200000,108.7648077,0.403438661,1.046693462,1.173541504,4243.323629,0.274358725
620,200000,116.3152817,0.46192236,0.462681701,0.572694144,3734.451948,0.063979506
630,200000,106.2624178,0.155268439,0.898544404,0.914700109,3794.052772,0.326469619
640,200000,343.1067612,0.006466341,2.033183285,1.560783273,3743.6525,0.015679434
650,200000,71.54270886,0.016938933,0.928255304,1.600354633,3097.925351,0.174755206
660,200000,77.24726333,0.024089712,2.049214375,1.151406243,3913.413015,0.038874465
670,200000,315.690793,0.035243899,1.647631166,0.937197958,3713.885671,0.036970841
680,200000,57.23388456,0.047639829,0.526190654,0.977275445,3869.483974,0.072772515
690,200000,47.22811267,0.026859224,0.499979978,0.585310003,4224.787982,0.131130776
700,200000,26.67178936,0.029900394,3.238189135,0.674793397,4436.480089,0.038734275
710,200000,105.8621534,0.042509602,0.537544696,0.36414459,3923.813249,0.059961164
720,200000,6.704045092,0.022516832,0.303932876,0.357901642,4433.947213,0.035030129
730,200000,1.801069672,0.03906603,0.966775714,0.913859013,3106.076332,0.105403237
740,200000,0.400234081,0.01413045,2.234909459,0.72049605,4194.272831,0.053594485
750,200000,0.600360748,0.056022444,0.542595909,0.927883348,3095.454695,0.82121999
760,200000,0.500289361,0.052157206,0.691807196,0.42310549,4401.159582,0.028843028
770,200000,47.12854015,0.035941262,0.32142302,0.310747636,3271.069082,0.028250513
780,200000,5.803490378,0.039912166,1.460347764,0.482145797,4159.785416,0.14392382
790,200000,196.9191949,0.027257878,0.950518757,0.404998222,4293.219798,0.109487868
800,200000,18.91100453,0.032780386,0.338161727,0.133325101,3247.336238,0.054049542
810,200000,4.302636277,0.025071657,0.241608665,0.171790095,3051.063455,0.041893801
820,200000,4.503130382,0.062550727,0.721178389,0.214116824,2969.725658,0.075760508
830,200000,157.5168235,0.046459107,0.247570004,0.246313725,3585.732747,0.023302721
840,200000,4.502733299,0.024901507,0.077320111,0.070034638,3831.602338,0.26185823
850,200000,137.4830524,0.017597763,5.402713139,0.033808922,3594.884152,0.011494763
860,200000,127.4768628,0.039544288,0.53364599,0.105625819,3573.205118,0.597602507
870,200000,0.000002215,0.046822289,0.186676009,0.334395287,4323.290127,0.087193796
880,200000,0.00000247,0.056208177,0.010261571,0.193316636,4314.898806,0.123348689
890,200000,0.000003369,0.051302236,0.048856153,0.179324298,3716.317707,0.131142947
900,200000,2.401435587,0.010679761,0.382600236,0.374174634,2977.801572,0.124237716
910,200000,2.301346039,0.072107917,0.150791885,0.466875156,3696.061046,0.015080832
920,200000,0.000002695,0.014100615,0.370010557,0.474624221,3696.332538,0.863597017
930,200000,0.000002516,0.04044302,0.883834242,0.548439796,3444.30684,0.074645036
940,200000,48.32825562,0.031366591,0.837664958,0.495733414,4173.896752,0.042810515
950,200000,38.32192975,0.032134794,0.665096998,1.033037347,2883.157119,0.018727826
960,200000,7.104172059,0.033335994,2.589437131,0.553225125,3426.127936,0.41737718
970,200000,1.400823471,0.00419651,0.786844522,0.492260841,2908.981142,0.138488469
980,200000,5.703357573,0.007010695,2.30375165,0.515539137,2894.972335,0.008896758
990,200000,12.10746702,0.011125413,0.684003737,0.485811847,3516.551966,0.01168566
,,,,2.350084607,0.595265903,4103.858319,0.085404731
,,,,0.253744753,0.55664613,2830.350081,0.049745686
,,,,0.354645186,0.556888823,4067.716247,0.083382519
,,,,3.553843461,0.504448664,3761.035681,0.110256388
,,,,,,3110.863852,0.084776363
,,,,,,4173.559592,0.013758682
,,,,,,3621.268328,0.044898608
,,,,,,3726.579647,0.042253702
,,,,,,3601.116519,0.145723297
,,,,,,3718.745175,0.051445895
,,,,,,3708.871184,0.059126973
,,,,,,3698.856756,0.025411476
,,,,,,3058.730868,0.07746356
,,,,,,4101.996206,0.039875168
,,,,,,3347.349149,0.397494327
,,,,,,3028.469348,0.014867579
,,,,,,4081.491563,0.144468773
,,,,,,3409.977609,0.032675914
,,,,,,3010.009981,0.050787538
,,,,,,2724.605922,0.152625479
,,,,,,2763.78399,0.063755432
,,,,,,3288.381341,0.063746273
,,,,,,2749.43592,0.094175769
,,,,,,2976.114578,0.115429565
,,,,,,3626.501775,0.072156063
,,,,,,2719.770108,0.06331131
,,,,,,3491.783303,0.068072181
,,,,,,3908.553856,0.041245246
,,,,,,3481.239884,0.019274737
,,,,,,3889.130875,0.11133577
,,,,,,2678.062251,0.043744387
,,,,,,2633.859183,0.269244391
,,,,,,3508.732182,0.013250519
,,,,,,3498.797238,0.217722651
,,,,,,2648.692486,0.148088595
,,,,,,3920.975056,0.075020742
,,,,,,3944.291286,0.092425757
,,,,,,3218.439807,0.055720396
,,,,,,3898.141996,0.030389311
,,,,,,3471.971586,0.717286171
,,,,,,3301.636282,0.069620648
,,,,,,2634.500932,0.087442441
,,,,,,3447.770611,0.050116633
,,,,,,3943.358529,0.063973416
,,,,,,3440.328171,0.174248843
,,,,,,3873.278458,0.764719201
,,,,,,3838.847937,0.083441523
,,,,,,2843.006086,0.012233049
,,,,,,3854.468014,0.126993788
,,,,,,3893.298501,0.14461364
,,,,,,3111.556667,0.062479235
,,,,,,3802.416592,0.119394258
,,,,,,3090.859602,0.092938499
,,,,,,3360.640191,0.095171411
,,,,,,3079.160478,0.067090077
,,,,,,2795.228132,0.011658464
,,,,,,2783.460769,0.171924599
,,,,,,3326.28069,0.050684968
,,,,,,2768.952946,0.173023983
,,,,,,2496.127689,0.01785748
,,,,,,3426.024223,0.089203792
,,,,,,3283.005255,0.05740083
,,,,,,3888.771581,0.121430511
