Time,Load,Mach mem usage,Kafka mem usage
0,200000,0,434287
1,200000,0,512973
2,200000,0,512973
3,200000,0,512973
4,200000,0,582227
5,200000,0,551948
6,200000,0,622046
7,200000,0,403803
8,200000,0,343693
9,200000,0,451465
10,200000,0,403165
11,200000,0,555195
12,200000,0,555195
13,200000,0,570146
14,200000,0,523770
15,200000,0,523770
16,200000,0,601879
17,200000,0,551766
18,200000,0,551766
19,200000,244362,516687
20,200000,0,543864
21,200000,0,10830821
22,200000,0,7734826
23,200000,0,6118336
24,200000,0,4577258
25,200000,0,2072052
26,200000,0,2239136
27,200000,1317900,1667706
28,200000,0,1764143
29,200000,0,666480
30,200000,0,666480
31,200000,0,740021
32,200000,0,627697
33,200000,0,657718
34,200000,0,555790
35,200000,0,555790
36,200000,0,638663
37,200000,0,517628
38,200000,0,546480
39,200000,0,545771
40,200000,0,545771
41,200000,0,622371
42,200000,0,519698
43,200000,0,564994
44,200000,0,506669
45,200000,0,506669
46,200000,218435,621712
47,200000,0,529588
48,200000,0,596229
49,200000,218602,521644
50,200000,0,521644
51,200000,217198,639163
52,200000,0,527238
53,200000,0,540651
54,200000,0,559738
55,200000,0,559738
56,200000,0,665250
57,200000,0,609024
58,200000,0,667756
59,200000,0,535924
60,200000,0,535924
61,200000,0,575655
62,200000,0,1038570
63,200000,0,950406
64,200000,0,1462977
65,200000,0,1462977
66,200000,0,1530932
67,200000,0,1125623
68,200000,0,1200291
69,200000,0,446559
70,200000,0,446559
71,200000,0,534443
72,200000,0,508710
73,200000,0,664490
74,200000,0,553491
75,200000,0,553491
76,200000,0,553491
77,200000,0,770378
78,200000,0,565921
79,200000,0,565921
80,200000,0,565921
81,200000,0,565921
82,200000,0,733287
83,200000,0,504878
84,200000,0,504878
85,200000,462678,504878
86,200000,0,504878
87,200000,0,631092
88,200000,0,516234
89,200000,0,516234
90,200000,477749,516234
91,200000,0,516234
92,200000,0,679826
93,200000,0,584093
94,200000,0,584093
95,200000,0,584093
96,200000,0,584093
97,200000,0,673773
98,200000,0,487386
99,200000,0,407698
100,200000,0,407698
101,200000,0,407698
102,200000,0,558082
103,200000,0,591829
104,200000,0,536017
105,200000,0,536017
106,200000,0,536017
107,200000,0,680152
108,200000,0,524156
109,200000,0,335684
110,200000,0,306075
111,200000,0,306075
112,200000,0,526338
113,200000,0,559830
114,200000,0,559830
115,200000,454753,559830
116,200000,0,559830
117,200000,0,743306
118,200000,0,554610
119,200000,0,554610
120,200000,219514,554610
121,200000,0,554610
122,200000,0,729578
123,200000,0,555063
124,200000,0,555063
125,200000,209180,555063
126,200000,0,555063
127,200000,0,683405
128,200000,0,537616
129,200000,0,537616
130,200000,0,537616
131,200000,0,620950
132,200000,0,571241
133,200000,0,711422
134,200000,0,572950
135,200000,0,572950
136,200000,198981,672985
137,200000,0,571458
138,200000,0,717479
139,200000,0,589301
140,200000,0,503766
141,200000,0,591101
142,200000,0,481099
143,200000,0,621555
144,200000,0,535724
145,200000,0,535724
146,200000,216407,636422
147,200000,0,523872
148,200000,0,531119
149,200000,0,484070
150,200000,0,484070
151,200000,0,601708
152,200000,0,582122
153,200000,0,495546
154,200000,225751,337577
155,200000,0,337577
156,200000,0,421804
157,200000,0,510643
158,200000,0,442127
159,200000,222811,290922
160,200000,0,290922
161,200000,0,372299
162,200000,0,454204
163,200000,0,552662
164,200000,225844,501891
165,200000,0,501891
166,200000,224042,651530
167,200000,0,558813
168,200000,0,617519
169,200000,0,537576
170,200000,0,537576
171,200000,205396,693030
172,200000,0,531692
173,200000,0,629220
174,200000,0,556084
175,200000,0,556084
176,200000,0,594811
177,200000,0,497389
178,200000,0,611596
179,200000,207680,443184
180,200000,0,443184
181,200000,0,579588
182,200000,0,562077
183,200000,0,562077
184,200000,223870,737213
185,200000,0,649284
186,200000,0,505315
187,200000,0,505315
188,200000,220968,505315
189,200000,0,631338
190,200000,0,536633
191,200000,0,531439
192,200000,216402,531439
193,200000,0,531439
194,200000,0,479091
195,200000,0,652973
196,200000,0,486311
197,200000,0,486311
198,200000,0,486311
199,200000,0,566174
200,200000,0,623963
201,200000,0,561010
202,200000,0,561010
203,200000,0,561010
204,200000,0,658708
205,200000,0,578080
206,200000,0,496483
207,200000,0,496483
208,200000,0,496483
209,200000,0,635191
210,200000,0,748132
211,200000,0,606019
212,200000,0,606019
213,200000,218937,606019
214,200000,0,713207
215,200000,0,656749
216,200000,0,513207
217,200000,0,352614
218,200000,0,352614
219,200000,0,458269
220,200000,0,511771
221,200000,0,547525
222,200000,217745,384397
223,200000,0,357771
224,200000,0,499571
225,200000,0,448175
226,200000,0,525706
227,200000,229556,450959
228,200000,0,421313
229,200000,0,558877
230,200000,0,651550
231,200000,0,562192
232,200000,0,507419
233,200000,215923,507419
234,200000,0,615673
235,200000,0,723617
236,200000,0,480975
237,200000,0,408423
238,200000,0,408423
239,200000,0,561986
240,200000,0,691559
241,200000,0,359592
242,200000,0,331555
243,200000,208050,331555
244,200000,0,500501
245,200000,0,680551
246,200000,0,544305
247,200000,0,544305
248,200000,208673,544305
249,200000,0,686179
250,200000,0,702507
251,200000,0,611937
252,200000,0,484669
253,200000,210926,484669
254,200000,0,636430
255,200000,0,638733
256,200000,0,534765
257,200000,229566,534765
258,200000,0,534765
259,200000,0,674659
260,200000,0,699246
261,200000,0,534945
262,200000,214501,506482
263,200000,191638,506482
264,200000,0,624113
265,200000,0,663522
266,200000,0,560826
267,200000,212848,560826
268,200000,206668,560826
269,200000,0,750112
270,200000,0,597007
271,200000,0,597007
272,8000000,220745,597007
273,8000000,0,76879849
274,8000000,41634499,82909300
275,8000000,47790806,96815038
276,8000000,47553519,93196847
277,8000000,46388626,90314999
278,8000000,43689851,78425116
279,8000000,40380739,69351512
280,8000000,40456305,59515206
281,8000000,40074285,42700413
282,8000000,38620887,90820962
283,8000000,88138959,110813672
284,8000000,89138257,114694277
285,8000000,80447595,105142759
286,8000000,80466390,91972693
287,8000000,78451825,81594883
288,8000000,78150916,73144739
289,8000000,78278915,60597722
290,8000000,76748442,55177224
291,8000000,77701107,98720149
292,8000000,126492922,131186788
293,8000000,132708047,136689880
294,8000000,128118170,128606675
295,8000000,123894160,124644571
296,8000000,122258102,118835960
297,8000000,119507319,113687998
298,8000000,115904278,107529637
299,8000000,113235676,104428019
300,8000000,113067933,126238780
301,8000000,161203972,186908910
302,8000000,159113156,196819711
303,8000000,164467743,192689085
304,8000000,163516429,182495412
305,8000000,161701784,177888074
306,8000000,156979052,173505140
307,8000000,157483878,167082521
308,8000000,160141004,158237413
309,8000000,160546828,155270402
310,8000000,157574999,224040100
311,8000000,208522214,246320580
312,8000000,213892250,260421592
313,8000000,211150472,258198018
